val_loss,val_acc,epoch,step,train_loss,train_acc,test_loss,test_acc
0.12622171640396118,0.9585280418395996,180,67868,,,,
,,180,67868,0.12224595993757248,0.9554310441017151,,
0.1269751340150833,0.957359790802002,181,68242,,,,
,,181,68242,0.13046734035015106,0.9539259076118469,,
0.12166528403759003,0.957359790802002,182,68616,,,,
,,182,68616,0.12234309315681458,0.9560999870300293,,
0.11806703358888626,0.9632009267807007,183,68990,,,,
,,183,68990,0.11940576136112213,0.9574379324913025,,
0.12071096897125244,0.9602803587913513,184,69364,,,,
,,184,69364,0.12213566154241562,0.9571870565414429,,
0.12579599022865295,0.9579439163208008,185,69738,,,,
,,185,69738,0.12829717993736267,0.9545948505401611,,
0.11915929615497589,0.9608644843101501,186,70112,,,,
,,186,70112,0.12240488082170486,0.9543440341949463,,
0.12174557894468307,0.9591121673583984,187,70486,,,,
,,187,70486,0.12689054012298584,0.9541767835617065,,
0.12061776965856552,0.9602803587913513,188,70860,,,,
,,188,70860,0.1242920532822609,0.9540931582450867,,
0.12035947293043137,0.961448609828949,189,71234,,,,
,,189,71234,0.12167921662330627,0.9580232501029968,,
0.11928965896368027,0.9602803587913513,190,71608,,,,
,,190,71608,0.12394589185714722,0.9560163617134094,,
0.1316882222890854,0.9532710313796997,191,71982,,,,
,,191,71982,0.12109414488077164,0.9560999870300293,,
0.1263289898633957,0.9544392228126526,192,72356,,,,
,,192,72356,0.12448261678218842,0.9540931582450867,,
0.12844648957252502,0.9556074738502502,193,72730,,,,
,,193,72730,0.12253766506910324,0.9560999870300293,,
0.11599795520305634,0.9608644843101501,194,73104,,,,
,,194,73104,0.11648930609226227,0.9568525552749634,,
0.12049107253551483,0.9602803587913513,195,73478,,,,
,,195,73478,0.11659102141857147,0.9577723741531372,,
0.12361373752355576,0.9591121673583984,196,73852,,,,
,,196,73852,0.11918092519044876,0.9575215578079224,,
0.12217757105827332,0.957359790802002,197,74226,,,,
,,197,74226,0.12601280212402344,0.9555982947349548,,
0.12006869167089462,0.9591121673583984,198,74600,,,,
,,198,74600,0.11970153450965881,0.957103431224823,,
0.11311222612857819,0.9602803587913513,199,74974,,,,
,,199,74974,0.11922948062419891,0.9570198059082031,,
,,200,74975,,,0.13109973073005676,0.9573224186897278
